DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Visual Studio,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,Windows Calculator,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,TASKMGR.EXE,Microsoft Corporation
6/29/2021 12:00:00 AM +00:00,6/29/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,PyCharm Python IDE,jetbrains s.r.o.
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Notepad,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,TASKMGR.EXE,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,OPENWITH.EXE,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Visual Studio,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,mysql workbench,Oracle
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
6/28/2021 12:00:00 AM +00:00,6/28/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,CONHOST.EXE,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,TASKMGR.EXE,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Visual Studio,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,PyCharm Python IDE,jetbrains s.r.o.
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,python,Python Software Foundation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,mysql workbench,Oracle
6/27/2021 12:00:00 AM +00:00,6/27/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,PyCharm Python IDE,jetbrains s.r.o.
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,CONSENT.EXE,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,TASKMGR.EXE,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,mysql workbench,Oracle
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
6/26/2021 12:00:00 AM +00:00,6/26/2021 11:59:59 PM +00:00,,Daily,office.com,Microsoft Corporation
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,mysql workbench,Oracle
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,Microsoft Store,Microsoft Corporation
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,OneDrive,Microsoft Corporation
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,APPLICATIONFRAMEHOST.EXE,Microsoft Corporation
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,DWM.EXE,Microsoft Corporation
